node,date,cumulative_bundles,cumulative_collections,target_bundles,target_collections
PDS_PPI,2024-12-06,118,417,506,2882
PDS_PPI,2024-12-07,119,418,506,2882
PDS_PPI,2024-12-10,120,426,506,2882
PDS_PPI,2025-01-09,121,443,506,2882
PDS_PPI,2025-01-10,125,468,506,2882
PDS_PPI,2025-01-15,126,474,506,2882
PDS_PPI,2025-01-16,130,504,506,2882
PDS_PPI,2025-01-17,130,507,506,2882
PDS_PPI,2025-01-18,131,512,506,2882
PDS_PPI,2025-01-21,135,534,506,2882
PDS_PPI,2025-01-22,137,553,506,2882
PDS_PPI,2025-01-23,137,555,506,2882
PDS_PPI,2025-01-24,137,559,506,2882
PDS_PPI,2025-03-18,138,561,506,2882
PDS_PPI,2025-04-10,138,563,506,2882
PDS_PPI,2025-04-11,144,581,506,2882
PDS_PPI,2025-04-12,144,585,506,2882
PDS_PPI,2025-04-15,145,597,506,2882
PDS_PPI,2025-04-16,154,651,506,2882
PDS_PPI,2025-04-17,156,655,506,2882
PDS_PPI,2025-04-18,156,657,506,2882
PDS_PPI,2025-04-19,156,660,506,2882
PDS_PPI,2025-04-20,157,665,506,2882
PDS_PPI,2025-06-14,157,666,506,2882
PDS_PPI,2025-06-15,158,669,506,2882
PDS_PPI,2025-06-16,166,693,506,2882
PDS_PPI,2025-06-17,166,696,506,2882
PDS_PPI,2025-06-18,166,699,506,2882
PDS_PPI,2025-06-19,166,704,506,2882
PDS_PPI,2025-06-20,168,721,506,2882
PDS_PPI,2025-06-21,169,722,506,2882
PDS_PPI,2025-06-23,170,726,506,2882
PDS_PPI,2025-06-24,172,733,506,2882
PDS_PPI,2025-06-25,174,752,506,2882
PDS_PPI,2025-06-27,175,753,506,2882
PDS_PPI,2025-07-01,176,761,506,2882
PDS_PPI,2025-09-19,176,768,506,2882
PDS_PPI,2025-09-20,177,777,506,2882
PDS_PPI,2025-12-11,193,865,506,2882
PDS_PPI,2025-12-12,193,867,506,2882
PDS_PPI,2025-12-13,193,868,506,2882
PDS_PPI,2025-12-14,200,898,506,2882
PDS_PPI,2025-12-15,205,918,506,2882
PDS_PPI,2025-12-16,212,980,506,2882
PDS_PPI,2025-12-17,212,982,506,2882
PDS_PPI,2025-12-19,212,983,506,2882
PDS_PPI,2026-01-23,213,985,506,2882
PDS_PPI,2026-01-27,214,988,506,2882
PDS_PPI,2026-01-28,216,998,506,2882
PDS_PPI,2026-03-05,222,1045,506,2882
PDS_PPI,2026-03-06,223,1057,506,2882
PDS_PPI,2026-03-10,225,1065,506,2882
PDS_PPI,2026-03-11,229,1093,506,2882
PDS_PPI,2026-03-12,242,1143,506,2882
PDS_PPI,2026-03-13,256,1223,506,2882
PDS_PPI,2026-03-14,257,1226,506,2882
PDS_PPI,2026-03-17,261,1248,506,2882
PDS_PPI,2026-03-18,263,1252,506,2882
PDS_PPI,2026-03-20,264,1264,506,2882
PDS_PPI,2026-03-21,265,1268,506,2882
PDS_PPI,2026-04-27,267,1276,506,2882
PDS_PPI,2026-05-05,268,1280,506,2882
PDS_PPI,2026-05-13,270,1289,506,2882
PDS_PPI,2026-05-14,270,1293,506,2882
PDS_PPI,2026-05-15,279,1320,506,2882
PDS_PPI,2026-05-16,280,1328,506,2882
PDS_PPI,2026-06-02,285,1347,506,2882
PDS_PPI,2026-07-01,287,1375,506,2882
PDS_PPI,2026-07-02,293,1409,506,2882
PDS_PPI,2026-07-03,297,1433,506,2882
PDS_PPI,2026-07-04,298,1440,506,2882
PDS_PPI,2026-07-05,301,1479,506,2882
